Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
Emerson,br BRA,DF,Tottenham,23-205,1999,1,0,3,0,0,3.14,0,0,,12.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,df8b52a5
Eberechi Eze,eng ENG,MF,Crystal Palace,24-039,1998,0.9,0,1,1,100,01.06,01.06,0,0,11.4,0,0,0,0.4,0.4,0.36,-0.4,-0.4,Matches,ae4fc6a4
Fabinho,br BRA,MF,Liverpool,28-288,1993,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,7f3b388c
Roberto Firmino,br BRA,FW,Liverpool,30-309,1991,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,4c370d81
Ryan Fraser,sct SCO,FW,Newcastle Utd,28-164,1994,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,d56543a0
Conor Gallagher,eng ENG,MF,Chelsea,22-182,2000,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,c2731c10
Joe Gelhardt,eng ENG,FW,Leeds United,20-095,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,01962d0d
Morgan Gibbs-White,eng ENG,FW,Wolves,22-192,2000,1,0,2,1,50,2,1,0,0,14,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches,32f60ed8
Ben Godfrey,eng ENG,DF,Everton,24-204,1998,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,9f7c837d
Anthony Gordon,eng ENG,FW,Everton,21-164,2001,1,0,1,0,0,1,0,0,,11,0,0,0,0,0,0.04,0,0,Matches,2bd83368
Demarai Gray,eng ENG,FW,Everton,26-040,1996,1,0,1,0,0,1,0,0,,12,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,4468ec10
Sam Greenwood,eng ENG,MF,Leeds United,20-193,2002,0.2,0,2,0,0,10,0,0,,22.9,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,f3354c07
Vicente Guaita,es ESP,GK,Crystal Palace,35-209,1987,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,ab13a5aa
Marc Guéhi,eng ENG,DF,Crystal Palace,22-025,2000,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,d0706b27
Bruno Guimarães,br BRA,MF,Newcastle Utd,24-264,1997,1,0,1,0,0,01.01,0,0,,26,0,0,0,0,0,0.03,0,0,Matches,82518f62
Jack Harrison,eng ENG,FW,Leeds United,25-260,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,aa849a12
Kai Havertz,de GER,FW,Chelsea,23-057,1999,0.8,0,3,1,33.3,3.65,1.22,0,0,12.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,fed7cb61
Hwang Hee-chan,kr KOR,FW,Wolves,26-193,1996,0.9,0,1,1,100,01.07,01.07,0,0,12.6,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches,169fd162
Dean Henderson,eng ENG,GK,Nott'ham Forest,25-148,1997,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,e5a76dfe
Jordan Henderson,eng ENG,MF,Liverpool,32-051,1990,1,0,2,0,0,2,0,0,,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,935e6b8f
Son Heung-min,kr KOR,FW,Tottenham,30-030,1992,1,0,4,2,50,4,2,0,0,12.3,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches,92e7e919
Mason Holgate,eng ENG,DF,Everton,25-289,1996,0.8,0,1,0,0,1.23,0,0,,7,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches,d0042ab9
Will Hughes,eng ENG,MF,Crystal Palace,27-112,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,a0666d3e
Pierre Højbjerg,dk DEN,MF,Tottenham,27-002,1995,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,8b04d6c1
Danny Ings,eng ENG,FW,Aston Villa,30-015,1992,0.7,0,3,1,33.3,4.15,1.38,0,0,15.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,07802f7f
Alex Iwobi,ng NGA,MF,Everton,26-096,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,6ca5ec4b
Reece James,eng ENG,DF,Chelsea,22-242,1999,1,0,2,0,0,2,0,0,,22.6,1,0,0,0,0,0.02,0,0,Matches,1265a93a
Gabriel Jesus,br BRA,FW,Arsenal,25-126,1997,0.9,0,1,0,0,1.1,0,0,,15,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches,b66315ae
Joelinton,br BRA,MF,Newcastle Utd,25-358,1996,1,0,3,2,66.7,3,2,0,0,22.7,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches,c17bfb65
Brennan Johnson,wls WAL,FW,Nott'ham Forest,21-076,2001,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,0cd31129
Jorginho,it ITA,MF,Chelsea,30-230,1991,1,1,0,0,,0,0,,,,0,1,1,0.8,0,,0.2,0,Matches,45db685d
Boubacar Kamara,fr FRA,MF,Aston Villa,22-257,1999,0.9,0,1,0,0,1.11,0,0,,32,0,0,0,0,0,0.02,0,0,Matches,cc77354e
Harry Kane,eng ENG,FW,Tottenham,29-010,1993,1,0,2,1,50,2,1,0,0,36.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,21a66f6a
N'Golo Kanté,fr FRA,MF,Chelsea,31-131,1991,1,0,1,1,100,1,1,0,0,20.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,b9fbae28
Neeskens Kebano,cd COD,FW,Fulham,30-150,1992,0.7,0,1,0,0,1.38,0,0,,19.2,0,0,0,0,0,0.03,0,0,Matches,18b999f4
Lloyd Kelly,eng ENG,DF,Bournemouth,23-305,1998,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,f31def1e
Max Kilman,eng ENG,DF,Wolves,25-076,1997,1,0,1,0,0,1,0,0,,7.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,d0f72bf1
Mateusz Klich,pl POL,MF,Leeds United,32-055,1990,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,282679b4
Robin Koch,de GER,DF,Leeds United,26-021,1996,1,0,1,0,0,1,0,0,,8.1,0,0,0,0,0,0.04,0,0,Matches,ea6bc03a
Ezri Konsa,eng ENG,DF,Aston Villa,24-288,1997,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,0313a347
Kalidou Koulibaly,sn SEN,DF,Chelsea,31-048,1991,0.8,0,1,1,100,1.22,1.22,0,0,11,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,da974c7b
Dejan Kulusevski,se SWE,FW,Tottenham,22-104,2000,0.9,1,2,1,50,2.12,01.06,0.5,1,13.2,0,0,0,0.2,0.2,0.09,0.8,0.8,Matches,df3cda47
